ID	Content	A	B	C	D
1511	The  policeman who stopped him asked him if __ been drinking.	had  he	has he	he had	he has
1512	They  caught him cheating. His chances of passing are __ destroyed now.	seriously	completely	severely	hardly
1513	"We  don't know her very well, only by __."	sight	chance	figure	accident
1514	The  teacher __ them the answer to the question.	explained	told	said	discussed
1515	He stroked his  cat's silky fur and the cat __ contentedly.	growled	snored	purred	hummed
1516	I  wrote to the company __ them for a catalogue	demanding	asking	enquiring	applying
1517	We  played the game __ the rules.	on account  of	ahead of	according to	apart from
1518	The __ listened attentively to every word the vicar said in his sermon.	sightseers	congregation	spectators	audience
1519	"Although a solemn tone was appropriate to the  seriousness of the occasion, the speaker lapsed into __ which was  depressing rather than moving."	reverence	frankness	levity	morbidity
1520	The politician refused to be drawn into  answering __ questions.	imaginary	speculative	antithetical	hypothetical
1521	"I'm very busy, so please don't disturb me  __ it's urgent."	if	unless	while	since
1522	The new  factory __ next week by the Prime Minister.	will open	will be  opening	will have opened	will be opened
1523	"""Thieves will be  __."""	prosecuted	liable	lifted	persecuted
1524	In a  break-in last week the burglars __ all my jewellery but left the pictures.	have  taken	took	take	were taking
1525	The  interference on the radio was __ by weather conditions.	caused	made	raised	due
1526	I'll be very surprised if you  __ the exam.	don't pass	won't pass	aren't  passing	wouldn't pass
1527	Will you __ me to go to the bank in  the morning?	remind	suggest	remember	propose
1528	The  children did not know the __ by which the game was played.	facts	customs	orders	rules
1529	It's a very nice drink; I'm  sure you would like it if you __ it.	tested	proved	tried	surveyed
1530	"Peter, you're a stupid  little boy! Stop __ like that."	making  up	acting out	doing up	showing off
1531	The man who lives opposite us sometimes comes __ for a cup of coffee.	on	over	off	to
1532	You can't miss my  house: it's __ the fire station.	against	opposite	across	aside
1533	"If no  one __ to the plan, we will start next week."	minds	avoids	objects	argues
1534	Children should be prohibited __ smoking.	from	of	in	on
1535	How much did they  charge you __ that?	at	with	for	to
1536	"Although  it is only a small business, its __ is surprisingly high."	turnup	turnover	turnabout	turnout
1537	"As  there was no transport of any kind, he had to make the journey __ foot."	by	on	with	at
1538	I doubt __ the  company will make any profit at all this year.	when	whether	since	so that
1539	He thinks he is  really important but he is only really a big __ in a small pond.	pack	market	shots	fish
1540	"Since the evidence  of the manuscript's __ is __, its publication will be postponed  until a team of scholars has examined it and declared it to be genuine."	authenticity...inconclusive	truthfulness...tarnished	veracity...indubitable	legitimacy...infallible
1541	"You're looking very pale, do you __ sick?"	fall	faint	feel	become
1542	This is a  challenging position in the car industry for a qualified __.	engineer	engine	mechanical	machinery
1543	Jane and Margaret  __ to live next door to each other at one time.	had used	used	were used	have used
1544	Rodney is fluent __  five languages.	at	with	in	by
1545	Aunt Ida has  never really __ from her nervous breakdown.	mended	cured	recovered	repaired
1546	He sent __ from  Mallorca.	her a card	to her a card	card to her	to her  card
1547	She __ to work a little bit harder if she's going to  pass the exam.	needs	must	had	should
1548	I met  John __ his bicycle along the pavement.	pulling	turning	rolling	wheeling
1549	The manager expected the  team __ because they hadn't done enough training.	to lose	have  lost	to be lost	by losing
1550	He asked her so many  times to do it that __ she did so.	at the  end	in the end	to the end	by the end
1551	While the builders were repairing the roof they __ the bathroom window.	break	broke	have broken	was broken
1552	You really can't __ a thing that woman says!	believe	rely	count	imagine
1553	"I tried to sew  the button on myself, but I couldn't thread the __."	pin	nail	needle	point
1554	He  __ the letter carefully and put it in the envelope.	bent	curved	folded	turned
1555	Has it  occured __ you that she must have arrived at London airport by now?	for	to	on	in
1556	You must comply  __ the rules of the game.	to	in	at	with
1557	He confessed __ me that he had just been converted to  some strange religion.	on	in	with	to
1558	I am sure  he would have liked your sister if he __ her.	meet	met	had met	has met
1559	"In  order to __ the deadline for submitting the research paper, the student  tried to __ additional time from the professor."	extend...wheedle	accelerate...obtain	postpone...forego	sustain...imagine
1560	He says he  doesn't like his new school because he feels like a __ out of water there.	boat	duck	fish	swimmer
1561	Children will work hard if the lessons are  __.	expressing	inquiring	attracting	interesting
1562	We have agreed __ the need for firm action.	on	for	in	at
1563	I walked __  Piccadilly Circus and then caught a bus.	until	as long  as	as far as	till
1564	I'll cook the potatoes if  someone will __ them first.	skin	peel	strip	uncover
1565	"Can you  divide 30 __ 6, please?"	in	by	with	of
1566	I didn't  realize everyone was going to wear formal clothes and I felt __ in my  jeans and jumper.	insulted	annoyed	offended	embarrassed
1567	I  intend to leave __ Paul is ready.	until	while	as soon as	though
1568	The colours in some of the  photos we took two years ago have begun to __.	fail	faint	fade	light
1569	The only feature __ to  these two flowers is their preference for sandy soil.	similar	same	shared	common
1570	"I __ go now, or I'll  be late for the lesson."	may	need	ought	must
1571	"Now that  he has retired, he lives partly on his pension and partly on the __ on his  post office savings account."	income	wages	dividend	interest
1572	They were delighted __ to come to the  party.	with having been asked	at having been asked	with being  asked	at having been asking
1573	"With the breakdown of the  latest round of talks, a strike must obviously be __."	on the  cards	on the spot	on the dole	on the way
1574	"At  the end of the winter, the price of winter clothes in the shops usually  __."	drops	lowers	sinks	reduces
1575	This company has always __ to a strict no-smoking  policy.	acted	adhered	amounted	attended
1576	This is such a boring job to do. It's a real pain in the  __.	back	way	neck	feathers
1577	The  car skidded to a halt after __ its headlights smashed in the crash.	making	letting	having	doing
1578	Try and  __ on the bright side- the worst may never happen!	see	look	think	consider
1579	Companies have  to consider the age of the population when they are __ new staff.	recruiting	enrolling	enlisting	raising
1580	__ through the attic and see if you can find  anything for the jumble sale.	Rummage	Ravage	Forage	Salvage
1581	Could you please tell me if you have any electric  typewriters __?	in store	in order	in supply	in stock
1582	Please  come round this evening; I __ to see you urgently.	need	beg	long	could
1583	My younger sister is very  __ and so she loves going out but I am much quieter and prefer to stay at  home.	enjoyable	funny	pleasing	lively
1584	Can you  __ me a good pill against airsickness?	advise	suggest	recommend	propose
1585	They were really __  about my idea of joining them in London.	enthusiastic	keen	interested	willing
1586	We were all taken __  surprise when they announced their engagement.	by	in	with	to
1587	I can't possibly lend you any  money; it is quite out of the __.	order	question	practice	place
1588	I wish you'd stop comparing  my cooking __ your mother's.	to	with	for	against
1589	The bank  will __ you the money if you are prepared to pay them eight per cent  interest on it.	borrow	lend	make	possess
1590	"He is  intent on passing the examination, but I'm doubtful __ his chances."	about	for	on	in
1591	Beware __ the  dog.	of	off	on	from
1592	The  waiter's tip is included __ the bill.	on	in	at	of
1593	"If you fail in this  attempt, don't count __ me for help."	for	to	with	on
1594	I insist __  your telling me the truth.	on	of	from	in
1595	Do you  mean to say you have never heard __ Beethoven?	from	on	in	of
1596	Even though he was  more than sixty he had very few __ on his face.	freckles	wrinkles	spots	dimples
1597	The cat showed  her __ for the stale fish by turning her back on it.	distress	disgust	disgrace	despair
1598	In  about a week Tom __ his summer holiday.	start	started	will start	has started
1599	an Indian summer = __.	a hot summer	"a cold, rainy  summer"	a period of fine weather in early autumn	a sunny day in  winter
1600	I __ you that I had no intention of offending you.	convince	persuade	guarantee	assure
1601	Take this road and you will __ at the hotel  in five minutes.	arrive	come	find	reach
1602	"Oh no!  When I was cooking these vegetables, I must have forgotten __ any salt in."	to  give	giving	putting	to put
1603	They talked for  three days before finally __ to a decision.	reaching	coming	bringing	arriving
1604	"My uncle is great. In our  family, he's __ his cooking."	famous about	famous with	famous for	famous  in
1605	The new manager explained to the staff that he hoped to  __ new procedures to save time and money.	control	restore	manufacture	establish
1606	The accident was your  fault - you __ have been driving so fast.	mustn't	wouldn't	shouldn't	couldn't
1607	Do you really believe in  the __ of the evil eye?	being	occurrence	existence	realism
1608	Tell me __ what happened after Jennings hit the  Minister.	to the full	in full	full length	full time
1609	Several of the trees in the park were __.	sick	ill	diseased	unhealthy
1610	My parents __ that  they will move to the seaside when my father retries next year.	think	thinking	will think	thought
1611	Are  you telling me that this shirt costs $100? You __ be joking!	may	should	will	must
1612	"At a dinner to mark  his retirement, Neville was __ with a silver clock."	provided	given	gifted	presented
1613	Scientists everywhere are trying to __ a cure for AIDS.	conclude	invent	discover	make
1614	This  passport is valid __ all countries except China.	in	on	at	for
1615	He congratulated me  __ having got engaged.	of	about	on	in
1616	Don't write __ the desk!	to	at	on	by
1617	Don't blame me  __ the accident!	with	at	by	for
1618	We are  fortunate __ having sufficient supplies of fuel for the winter.	on	in	with	for
1619	When I came in he  __ to repair his TV set.	tried	has been trying	tries	was trying
1620	The falling inflation rate is __ to  a decrease in the amount of borrowing.	indicative	attributed	referred	pertinent
1621	"When I went to talk to the manager, he told me he  could only __ me a few minutes."	provide	spare	hear	let
1622	There was a big hole in the  road which __ the traffic.	held up	kept down	stood back	sent  back
1623	The factory paid __ nearly a million pounds to their  employees who were injured in the explosion.	off	out	back	in
1624	I'm so out of __ that I  can't run ten meters without puffing.	health	strength	condition	fitness
1625	He go out of bed and took a  few __ but couldn't go any farther.	stages	starts	steps	actions
1626	You will have to repeat the  course because your work has been __.	unpleasant	unnecessary	unsatisfactory	unusual
1627	"__ the BBC news, the  plane crash was caused by engine failure."	Because of	According  to	Owing to	On account of
1628	"I tried __ the  bus, but I missed it."	catching	catch	to catch	catch up
1629	She  showed a lot of __ in her fight against the illness.	discourage	courage	courageous	courageously
1630	I've __ for a  job in Mexico. I hope I get it.	applied	appointed	implied	presented
1631	Prevention is better than __.	solution	answer	treatment	cure
1632	The  class failed to respond __ the teacher's new methods.	to	with	for	at
1633	I am sorry __  having asked him.	with	for	of	at
1634	He turned  __ me for help.	for	at	to	on
1635	Are you  interested __ opera?	on	in	with	at
1636	How do you  account __ this?	on	for	in	with
1637	Has it  ever occured to you that those twins are quite different __ each other in  many ways?	on	at	from	to
1638	"I left the  meat on the table and as the weather was very hot, it __."	went  bad	went down	broke down	went of
1639	He  and I don't get on. We rub each other up the wrong __.	back	way	here	teeth
1640	"If you have  finished your homework, you __ check through it carefully."	would	should	will	were to
1641	"__ down the High Street, Peter bumped into  Jenny."	On walk	As walking	Walking	Walked
1642	Let us know as soon as possible so that we can start  __ arrangements.	having	doing	making	fixing
1643	It took  about twenty minutes __ to the station.	for him to  get	that he got	that he went	to him to get
1644	Yesterday the naval authorities __ the report in Friday's newspapers that  they had exploded three bombs near an unknown submarine.	published	confirmed	re-stated	agreed
1645	He couldn't make the radio  __.	to work	working	worked	work
1646	I don't  believe a word you're saying. I think you've made the whole thing __.	for	up	out	down
1647	David was arrested  because he had forgotten __ for his shopping.	having paid	to  pay	paying	pay
1648	I felt a sharp __ when I  put my hand in the boiling water.	ache	harm	hurt	pain
1649	One  __ of their new house is that it has no garden.	pity	dislike	complaint	disadvantage
1650	"I expect it will rain  again when we're on holiday this year, but at least we are properly prepared  __ it this time."	about	at	with	for
1651	Do you  know anyone who's interested __ having a kitten?	at	to	in	for
1652	Psychiatrists spend  a lot of time studying the mind. So __ psychologists.	does	do	did	spend
1653	The firemen  brought several long __ to try to reach those trapped on the roof.	ladders	steps	stairs	staircases
1654	Be  careful! Here's a wasps' nest. Don't __ it.	interfere	disturb	blast	thrill
1655	The brothers are  so alike I cannot __ one from the other.	say	notice	mark	tell
1656	She wanted to  borrow the record __ me but she was shy of asking.	on	at	by	from
1657	"She is tall and  slim, but her mother is fat. She __ her father."	takes  after	takes off	takes down	looks to
1658	"As  the service charge is included in the bill, any further tipping is __."	unnecessary	unforgivable	unsatisfactory	unpleasant
1659	Many __ crafts  such as weaving are now being revived.	habitual	customary	traditional	ordinary
1660	"In a  five-hour operation, surgeons managed to sew the boy's __ hand back on."	cut	severed	crushed	grazed
1661	"I lost too much money betting at the races last  time, so you won't __ me to go again."	convince	impress	persuade	urge
1662	It is not long until the exam;  you ought to stop __ so much television and study a bit more.	watching	of  watching	to watch	and watch
1663	In the __ left-hand  corner of the picture there is a white mark.	up	high	front	top
1664	Their aim is to __ up a  new political party.	strike	stand	set	show
1665	He could  not have known what was in the letter __ he had written it himself.	until	if	unless	if only
1666	He found learning to drive  easy and __ his driving test the very first time.	sat	succeeded	passed	made
1667	The Finance Minister will be  making a __ today about new rates of income tax.	talk	notice	statement	declaration
1668	"I know nothing about  televisions, so when mine broke down, I took it to the shop to __."	having had it  repaired	have repaired it	have it repaired	have had it  repaired
1669	Don't __ up yet; you will soon be able to play the  trumpet well.	give	catch	break	turn
1670	The train  will be leaving in five minutes so you __ better hurry up.	had	should	will	would
1671	He __ me to  buy my air ticket immediately or it would be too late.	convinced	insisted	advised	suggested
1672	"As  the streets of our cities become busier, people are turning more and more to the  __ bicycle."	historical	old-fashioned	old-aged	elderly
1673	I have forgotten to __ today and I'll have to go to  the bank tomorrow.	pay into	pay up	pay in	pay  up
1674	He wrote everything that __ about it.	could be  written	could have been written	may have been written	might have been  written
1675	"She works very hard, as she is __ all our students'  affairs."	in sole charge of	in a sole charge of	in the sole  charge of	in the sole charge to
1676	It takes years to __ as a  doctor.	practise	pass	complete	qualify
1677	The  __ of the air by toxic gases is one of the major problems of this century.	corruption	damage	corruption	pollution
1678	"Although his work was often __ and __, he  was promoted anyway, simply because he had been with the company longer than  anyone else."	forceful...extraneous	negligent...creative	incomplete...imprecise	predictable...careful
1679	They sent  a sample of pottery they had found to the laboratory so that a date could be  __ on it.	put	placed	set	fixed
1680	Our school __ for the summer holidays on 10th July.	breaks  up	breaks down	breaks in	breaks off
1681	Good __! I hope you win.	chance	luck	run	sort
1682	The police-officer asked us  what __ doing.	we had	we were	we did	would we
1683	She  decided to go to the enquiry desk __ out when her train left.	finding	to  find	for finding	for find
1684	The Home-Loan Company  __ the right to cancel this agreement.	reserves	conserves	serves	deserves
1685	Just as we were sitting  down for the picnic it __ began to rain.	soon	suddenly	at once	in a moment
1686	I had run out of money  but luckily I was able to __ enough to get home.	lend	rent	loan	borrow
1687	All students leaving college  at the end of term must leave their addresses so that letters can be sent  __.	forward	through	on	to
1688	My mother was  __ of making a cake when the front door bell rang.	at the  centre	on her way	in the middle	halfway through
1689	Could you be more specific about what is __ in this particular job?	enclosed	concentrated	presented	involved
1690	From  the hotel there is a good __ of the mountains.	vision	view	sight	picture
1691	__ the  weather forecast it will rain heavily later this morning.	On account  of	According to	Because of	Due to
1692	"She  heated the chocolate until it __, then poured it over the cake."	formed	melted	changed	flooded
1693	Diana  __ over a stone and fell flat on her face.	dripped	tripped	stepped	walked
1694	"I have  been looking for this book for months, and __ I have found it."	at  last	in time	at the end	at present
1695	Children remain dependent __ their parents for a long time.	to	for	from	on
1696	Jones was dismissed  __ the firm.	of	off	from	in
1697	The  continents have been drifting slowly __.	away	apart	afar	far
1698	We'll have to call  the doctor. The baby is __.	running temperature	running a  temperature	having temperature	having a  temperature
1699	He said that the plane had already left and that I  __ arrived an hour earlier.	should have	had to	must  have	was supposed to
1700	Mrs Black is __ her holiday  with friends in the country.	making	spending	doing	expending
1701	The customs officer made her __ her  suitcase.	unpacking	unpack	to unpack	that she unpack
1702	My doctor will not let me __ animal fats any more.	to eat	eating	eat	to eating
1703	"- Barbara: It's curious  that Roy can't ski better. - Leo: I know. By the end of the month, he __  lessons for a full month."	will have	will be having	has been  having	will have been having
1704	"__ the terrible weather,  the tennis tournament was cancelled."	Although	Owing  to	However	In spite of
1705	The plate was right on  the __ of the table and could have been knocked off at any moment.	border	tip	margin	edge
1706	Scientists had never met this  problem before: it was __.	sole	alone	solitary	unique
1707	I was  __ about to ring up the office when he arrived home.	only	still	nearly	just
1708	We would __ to stay at  home this evening.	approve	recommend	prefer	rather
1709	We had to __ our roof repaired after the violent  storm.	make	have	do	let
1710	I'm afraid  it didn't __ my mind that they weren't the right people to invite.	pass	cross	cover	fill
1711	The child hurt  himself badly when he fell __ the bedroom window.	out  from	out of	down	over
1712	The hardest thing I  __ to do was to look after some children for a week.	had  never	have ever had	yet have	have always  had
1713	"He has had a bad day - in addition __ being late for  school, he forgot his homework."	with	to	by	for
1714	"After a lot of difficulty, he __ to open the door."	managed	succeeded	obtained	realized
1715	Don't lean __ that wall! You'll regret it.	at	against	by	of
1716	It was very kind  __ him.	from	in	of	at
1717	"The  production __, we suffered considerable losses lately."	having fallen  off	having fallen down	falling down	having falling  off
1718	"After his uncle's death, my husband __ a lot of money."	came  in	came into	came to	came up to
1719	The police are looking for a man of __ height.	medium	extra	tall	special
1720	As dumb as  __ = stupid.	a fish	a mule	a horse	two  sheep
1721	"The vase is definitely not __, but just a  very good imitation."	real	factual	genuine	true
1722	A wedding  is a wonderful opportunity for __ off new clothes.	wearing	carrying	showing	putting
1723	These figures show a  __ in the number of unemployed people in England and Wales.	loss	lessening	reduction	lowering
1724	You'll need a visa  __ as your passport to go to the United States.	moreover	in  addition	as well	besides
1725	I'm afraid the lift is out  of __ so we'll have to walk up the stairs.	function	movement	order	practise
1726	Timothy has lost a lot of  money these last years in the casino. He is a __ gambler.	impulsive	compulsive	compelled	impelled
1727	The hotel receptionist  said she would __ what she could do about the dripping tap immediately.	find	try	see	look
1728	The driver had to  __ quickly when the child stepped into the road.	pull down	pull  out	pull up	pull back
1729	To __ to obey  orders is a serious offence in the army.	disagree	deny	ignore	refuse
1730	"""How can we __ out  together what we're to do if we never talk about it frankly?"" she cried in  desperation."	test	find	work	search
1731	Two or  three people were involved __ the accident.	at	to	on	in
1732	"She may pride herself  __ her abitities, but she's not capable of bringing up children."	with	on	about	of
1733	As the clouds drifted  away an even higher peak became __ to the climbers.	in  sight	conspicuous	visible	obvious
1734	They  lay almost flat and __ through the tube-like underground passage.	crouched	crawled	glided	scrambled
1735	They __ her the truth.	dared not tell	dared not to  tell	didn't dared to tell	didn't dared telling
1736	Not  all that __ happened.	could take place	could have taken  place	might take place	may take place
1737	I told him to  stop but he went on __.	singing	is singing	was  singing	sing
1738	You are making too much noise! Stop __ at  once.	to talk	talk	talking	talked
1739	Tim  was forced to leave his job but he got a very generous golden __.	cats	flier	handshake	fish
1740	the  spitting image of someone = __.	the exact  opposite of someone	the best friend of someone	the person one  hates most	the exact likeness of someone
1741	I don't __ what people think about the way  I dress.	matter	care	attend	concern
1742	Everyone  __ from Andrew has accepted our invitation.	except	instead	apart	away
1743	After going for a long walk in  the morning everyone __ very hungry at lunch-time.	has	was	made	got
1744	I haven't seen the film yet and  __.	Dorothy has neither	neither saw Dorothy	neither has  Dorothy	neither Dorothy
1745	"Steak for breakfast and eggs for supper  is __, to say the least."	erratic	eccentric	egocentric	egoistic
1746	"The car had a __ tyre, so we had to change the  wheel."	broken	cracked	bent	flat
1747	Because it  rained very heavily all day they had to __ the garden party until the  following Saturday.	pre-arrange	postpone	re-arrange	preserve
1748	There  has been a considerable __ in Werner's English since he came to Britain.	promotion	improvement	advantage	progress
1749	Do you  know __ you call this in England?	how	what	which	as
1750	I don't __ to get married  because I like being a bachelor.	risk	persist	intend	insist
1751	"Her rudeness upset him, and it took him a long of time to  __ it."	put off	set back	get over	come  from
1752	The plane crashed into a bridge because it was flying too  __.	deep	shallow	low	narrow
1753	He drove too fast __ too often and was fined $20.	often	many	once	very
1754	The young girl  carefully __ left and right before crossing the road.	watched	glanced	stared	looked
1755	A new  study group has been __ by the United Nations.	put  up	put on	set up	set on
1756	He was  found guilty of murder and condemned __ death.	for	at	in	to
1757	"When he heard the bad  news, he broke __ completely."	away	in	down	up
1758	The Opposition cannot  afford to __ in such an important matter.	sit on the  fence	be on the cards	be in the bag	be at large
1759	I've never seen her so angry. She's walking round with a face like __.	ceiling	warpath	thunder	bend
1760	"Surprisingly, the frontier guards seemed __ at our presence."	unconcerned	uninterested	unconscious	uncritical
1761	This ticket __ one person to the museum.	permits	admits	enters	allows
1762	I must tell you  about my __ when I first arrived in London.	incidents	happenings	experiences	events
1763	It's the __ in this  country for the father of the bride to pay for the wedding.	common	custom	habit	normal
1764	__ people go to  football matches now than twenty years ago.	Less	Lesser	Fewer	Few
1765	"Jenny and her sister are so  __, they could almost be twins."	likeness	alike	same	the same
1766	"In court, she was so upset  that she broke __."	out	in	up	down
1767	I wish you  __ put your clothes on the floor all the time. It drives me mad.	don't	wouldn't	won't	would
1768	You asked me to __ you  to post that letter.	remember	remark	remind	recall
1769	It's time  we __ away with our old-fashioned prisons.	did	do	have done	shall do
1770	Going to the pub too  often can easily become a bad __.	use	tradition	custom	habit
1771	"Perhaps  some other boys will come __, too."	at	about	along	of
1772	"He says he's sorry  for what he did, so you need not get angry __ him."	at	to	on	with
1773	He persisted  __ asking questions.	of	with	on	in
1774	Mary  __ her hair were straight.	said	wishes	wants	asks
1775	When are you eligible for __?	a raise in the  salary	a raise in a salary	a raise in salary	raise in a  salary
1776	I wouldn't have written a letter to him if I __ he  would go away.	knew	have known	had known	know
1777	I would go and see him if he __ away.	isn't	aren't	hadn't been	weren't
1778	This  is __ the most difficult job I have ever tackled.	by  rights	by all means	by the way	by far
1779	You  have to be rich to send a child to a private school because the fees __.	astrological	aeronautical	astronomical	armospherical
1780	The murdered man  is thought to __ known the identity of his killer.	be	being	having	have
1781	"Because the picture was not genuine, it was  completely __."	worthless	invaluable	priceless	valuable
1782	Please would you __ me where the railway station  is.	say	explain	tell	point
1783	You'll have to use  the stairs: the lift is out of __.	work	repair	order	running
1784	British Leyland is aiming  to push __ its share of UK car sales to 25% over the next two years.	up	out	on	through
1785	"They got the bill  three weeks ago, but they __ haven't paid it."	even	yet	already	still
1786	"When there are small children  around, it is better to put breakable ornaments out of __."	reach	hand	hold	place
1787	"No, it's no good. I've  __ my time in trying to make it work."	spent	spoiled	consumed	wasted
1788	The __ of gold has  fallen slightly in the last year.	rate	value	currency	exchange
1789	There  are several ways of saving money if you travel __ train.	with	on	by	in
1790	"If we had set off earlier, we  __ our plane."	wouldn't miss	didn't miss	hadn't  missed	wouldn't have missed
1791	We __ an excellent concert  last night.	saw	visited	heard	listened
1792	She complained __ when she heard that she had to  work on Sunday.	severely	extremely	terribly	bitterly
1793	"I expect you to use your ability __, and then  write a report about what you did."	in full bloom	in full	to the  full	in full swing
1794	I consulted my lawyer on the matter and  I shall act __ his advice.	with	by	on	in
1795	Do you object __ my smoking?	to	at	with	in
1796	He remained faithful  __ the firm even after he had been dismissed.	for	with	to	at
1797	Food is said __  in price these days.	to go up	to be going up	to have gone  up	to be gone up
1798	Dentists recommend brushing teeth with  a fluoride toothpaste to __ them from decay.	defend	protect	arm	guard
1799	"I am not a serious  investor, but I like to __ in the stock market."	splash	splatter	paddle	dabble
1800	If  only everything __ out as we wanted it to in life!	works	worked	is working	has worked
1801	Your behaviour makes me __.	anger	angrily	angry	in danger
1802	The price of the meal  __ a service charge.	encloses	enters	envelopes	includes
1803	This  __ invention of yours should make you rich.	genial	talented	genius	ingenious
1804	There were so __  people in the queue for tickets that I missed the train.	many	few	little	much
1805	Many people think that Robert  Redford is a __-looking actor.	well	better	good	best
1806	Would you risk __ $500  on a horse?	to bet	that you bet	betting	you  bet
1807	David always __ over to my house after he had done his  homework.	came	went	gone	passed
1808	"If  __ it would stop raining for a morning, we could cut the grass."	ever	just	even	only
1809	A copy of our spring brochure  is __ with this letter.	combined	attached	delivered	enclosed
1810	You  thought I did wrong but the results __ my action.	agree	prove	approve	justify
1811	"Never  __, we'll see the film next week."	to  mind	you mind	mind you	in mind
1812	Some  schools have very __ rules of behaviour which must be obeyed.	strong	solid	straight	strict
1813	At the  hospital I was told that __ I gave up smoking immediately my illness would  get much worse.	except	until	without	unless
1814	His  car was __ in the accident.	harmed	injured	damaged	hurt
1815	It took Western economies many years to __  from the oil crisis of the mid-70s.	recover	regain	retain	get over
1816	It  doesn't sound __ he knows anything about it.	that  is	as so	so as	as if
1817	Without money you  will be __ to do anything about setting up your own business.	powerless	underpower	powerful	overpowered
1818	He delights __ annoying me.	on	with	in	at
1819	They would find another hotel if their rooms __ for  them.	weren't prepared	aren't prepared	hadn't been  prepared	won't be prepared
1820	Well I'm not surprised they are in  a mess. It's not exactly __ -shattering news.	spinner	make	till	earth
1821	"On the first morning of our camping holiday, I  woke up covered in mosquito __."	stings	pricks	bites	scratches
1822	"""Dickie, pointing  __ people is rude,"" Betty told her son."	to	at	on	out
1823	Mr White __ the company  in the way he wanted to.	owned	ruled	commanded	ran
1824	He __  the headwaiter about the slow service.	complained	argued	questioned	disputed
1825	My brother is much better  than I am __ football.	to play	in playing	for playing	at  playing
1826	The purpose of the examination was to __ the  students' knowledge of the subject.	try	inspect	prove	test
1827	"I paid a lot of money, but got  very little for it. So from my point of view it wasn't a very good __."	exchange	rate	value	deal
1828	I wish you __  make such a noise. I'm trying to work.	shouldn't	wouldn't	couldn't	needn't
1829	I think you ought to talk  to Harry; he's got __ very interesting information.	a	some	any	the
1830	My brother is a parachute  __.	trainer	teacher	educator	instructor
1831	In her __ she was a famous tennis player.	day	year	age	hour
1832	She wasn't keen  __ going to stay with her aunt.	for	to	on	of
1833	Alison came home from  work __ very tired and depressed.	looking	to look	having looked	looked
1834	We  haven't __ thought of going abroad for a holiday because my husband is  afraid of flying.	ever	never	always	yet
1835	__  each school year all the children were given copies of the school rules.	At  first	Immediately	At the beginning of	To start  with
1836	You shouldn't persist __ bothering her.	with	to	in	with
1837	He __ spends  his holidays in the mountains though occasionally he goes to the seaside  instead.	usually	invariably	constantly	rarely
1838	By half past ten tomorrow morning I __ along the  motorway.	will drive	am driving	drive	will be  driving
1839	Conversations you strike up with travelling acquaintances  usually tend to be __.	trivial	perverse	insufficient	imperative
1840	The Brighton coach  __ at 8.30 a.m.	reaches	travels	voyages	leaves
1841	"You can learn as much theory as you like, but you  only master a skill by __ it a lot."	practicing	training	exercising	doing
1842	I'm afraid a rise in salary  is __ just now.	out of sight	out of control	out of date	out of the  question
1843	I'll __ the children for you while you are out.	look  after	look for	look on	look out
1844	John and Barbara  __ to get married in St Mark's church.	selected	picked	judged	decided
1845	Have you a rough __  of how many people are coming to the party?	hope	imagination	thought	idea
1846	"As the waiter crossed the  restaurant, he __ over someone's foot and dropped his tray."	slipped	tripped	knocked	swept
1847	When he heard the terrible  noise he asked me what was __ on.	happening	being	getting	going
1848	I don't think that red dress  __ her.	suits	matches	cheers	agrees
1849	He  __ a very interesting story.	said	talked	spoke	told
1850	"In pain as  a result of the fall, he __ slowly home."	stepped	wound	limped	sped
1851	"Two  __ beers, please."	icy	freezing	chilled	frozen
1852	"""Blood-__ are urgently required,"" the spokesman for  the hospital said."	suckers	bankers	donors	donates
1853	She was so poor that she had to wander the streets and  __ for money.	demand	request	appeal	beg
1854	I don't agree __ you.	to	at	with	on
1855	She's accustomed  __ living in comfort.	with	to	at	for
1856	I drew a lot of money __ the bank yesterday.	from	in	on	off
1857	I wouldn't have been  ill if I __ on that trip.	don't go	hadn't  gone	weren't going	haven't gone
1858	The doctor arranged  for me to see the __ at the hospital about the pain in my back.	expert	specialist	speciality	expertise
1859	I'm  really angry with the way I've been treated by this company. I've had it up to  __ with the way I've been treated.	handle	spare	here	roof
1860	"Although he seemed  convincing, I was somewhat suspicious __ his over-confident manner."	of	with	by	for
1861	He was afraid of losing his suitcase so he tied a  __ on it on which he had written his name and address.	badge	mark	label	notice
1862	"I am not sure, but __  I know he has decided to accept the new job in London."	according	on the  whole	as far as	as long as
1863	"I enjoy working as his  secretary, but he is such a perfectionist that it's __."	exhausting	exhaustive	fatigued	sleepy
1864	You must __ that your  safety belt is fastened.	examine	secure	check	guarantee
1865	"__, after trying three times, he passed the examination."	Lastly	Last of  all	Last	At last
1866	That was no accident: you  did it on __!	reason	purpose	intention	plan
1867	I was just  __ to go out when you telephoned.	around	about	thinking	planned
1868	The witness told the court  that he __ the accused before.	had never  seen	hasn't seen	had ever seen	didn't see
1869	In  order to __ with his studies he worked through the summer.	take on	catch  on	catch up	take up
1870	The tea is very hot;  you'll have to __ it.	drink	swallow	gulp	sip
1871	This car is in terrible condition - you __ have an  accident at any time.	should	could	would	can
1872	I think  you'd better __ and see me next week.	come	to come	be coming	came
1873	"He may  be quick at understanding, but he is not capable __ remembering anything."	to	for	of	in
