ID	Content	A	B	C	D
756	"Famous for his __ punctuation, typography, and language, Edward Estlin  Cummings published his collected poems in 1954."	new innovations  for	innovations in	newly approached	innovations newly approached  in
757	"__ is currently available to researchers and physicians  who study and treat acromegaly, a glandular disorder characterized by  enlargement and obesity."	The little information	Few information	Little  information	A few information
758	__ trees  is a custom that many people engage in to celebrate Arbor Day.	The  plant	Plant	Planting	To planting
759	"__ stone tools and animal remains found with the human fossils,  anthropologists have determined that Neanderthal Man was a successful hunter."	When  the	The	Both the	From the
760	Staying in a hotel costs __ renting a room in a dormitory for a week.	twice more  than	twice as much as	as much twice as	as much as twice
761	"While staying in Florence, Italy, in 1894,  __ that she had a talent for sculpture and began taking lessons."	philanthropist Winfred Holt  discovered	that the philanthropist Winfred Holt discovered	discovered by  philanthropist Winfred Holt	there philanthropist Winfred Holt  discovered
762	"Some monkeys, __, use their tails in a way  similar to a hand."	like the spider monkey	spider monkey likes	to the spider  monkey	the monkey likes the spider
763	It is good form to use the  name of the person __.	who are greeting	you are greeting	which you are  greeting	greeting for you
764	"Generally speaking, every person  __ the potential to be a teacher, to some extent."	has	to  have	having	have
765	Statistics have shown that  early winter __ the worst time for traffic accidents.	it is	they  are	is	when
766	Some people think that  studying is not nearly as difficult as __.	earning one's  living.	living on one's earnings.	to earn one's living.	a well-earned  living.
767	"Neptune is an extremely cold planet, and __."	so does  Uranus	so has Uranus	so is Uranus	Uranus so
768	"In  many ways, riding a bicycle is similar to __."	the driving of a  car	when you drive a car	driving a car	when driving a  car
769	__ on the environment for the gratification of its  needs.	Each organism to depend	Every organism depends	All organisms  depending	Many organisms can depend
770	I understand that the  governor is considering a new proposal __	what would  eliminate unnecessary writing in government	who wants to cut down on the  amount of 'writing in government	that would eliminate unnecessary  paperwork in government	to cause that the amount of papers written in  government offices will be reduced
771	"Although fish do not have any  outer ears, __ have a simple inner ear on either side of the head."	there are  varieties	they are varieties	some varieties	which  varieties
772	The observation deck at the World Trade Center __  in New York.	is highest than any other one	is higher than any other  one	is highest that any other one	is higher that any other  one
773	Deserts are often formed __ they are cut off from  rain bearing winds by the surrounding mountain ranges.	because	in spite of	so	due to
774	__ are  found on the surface of the moon.	Craters and waterless seas  that	When craters and waterless seas	Craters and waterless  seas	Since craters and waterless seas
775	"The terrain in North  Carolina includes both the Highlands and the Coastal Plain, __ the  Piedmont Plateau between them."	as well as	also	and  too	and so
776	A good counselor would rather that the patient  __ his or her own decisions after being helped to arrive at a general  understanding of the alternatives.	makes	making	will make	made
777	"One of __ of the late Middle Ages was Saint Thomas  Aquinas, a scholar who studied under Albertus Magnus."	the thinkers  who was great	the great thinker	the greatest  thinkers	who thought greatly
778	One property of radioisotopes is  that __ decaying occurs in half-lives over a long period of time.	they	them	they're	their
779	"In an  internal combustion engine, __ and air are heated inside a cylinder."	and gasoline  vapor	both gasoline vapor	gasoline vapor  additional	besides gasoline vapor
780	Only  under special circumstances __ to test out of freshman composition and  literature.	which share	are sharing	while  sharing	share
781	"Last year Matt earned __ his brother,  who has a better position."	twice as much as	twice more than	twice as many  as	twice as more as
782	The noise of the airplanes  __from the airport over our house was unbearable at times.	which taking  off	taking off	which was taking off	to take  off
783	"__ the intermission, the kids all bought popcorn."	While	At	During	On
784	Tommy was one __.	of the happy childs of his  class	of the happiest child in the class	child who was the happiest of  all the class	of the happiest children in the  class
785	"George __ he could improve his test scores, but he did  not have enough time to study."	knew to	knew how	knew how that	knew how  to
786	If it __ more humid in the desert Southwest the hot  temperatures would be unbearable.	be	is	was	were
787	Travelers  __ their reservations well in advance if they want to fly during the  Christmas holidays.	had better to get	had to get better	had better  get	had better got
788	"Not until a student has mastered algebra  __ the principles of geometry, trigonometry, and physics."	he can begin to  understand	can he begin to understand	he begins to understand	begins to  understand
789	The cosmopolitan flavor of San Francisco is enhanced by  __ shops and restaurants.	an ethnic	its many ethnic	its  ethnicity	ethnicity
790	__ thirty-five African nations where  the elephant still exists.	Are	There are	They are	Those
791	"Starting in 1972, lightning fires in Yellowstone National  Park __to take their natural course unless they threatened park  facilities."	they allowed	allowing	allow	were  allowed
792	"Of the two new teachers, one is experienced and __"	the others are  not	another is unexperienced	the other is not	other lacks  experience
793	The 'Consumers Price Index' lists __.	how much costs  every car	how much does every car cost	how much every car  costs	how much are every car cost
794	Nerve impulses __  to the brain at a speed of about one hundred yards per second.	sending  sensations	to send sensations	send  sensations	sensations
795	In excess of 80  percent of the UN's budget is used __ the economic development of member  nations.	support	supporting	the  support	to support
796	Bacterial spores germinate and sprout  __ favorable conditions of temperature andfood supply.	when  encountering of	when they encounter	when they will  encounter	when the encounter of
797	"In the 1960s, due in part to  the invention of air conditioning, the population of the United States __  a dramatic geographical shift southward."	experiencing	was experienced	to  experience	experienced
798	"One of the most  influential Virginians of colonial times, __ in England."	the education  received by William Bird	was the education that William Bird  received	William Bird was educated	the education that William Bird  received
799	High and low atmospheric pressure systems are __  cause changing weather patterns.	the	whose	which	what
800	Jupiter __ the largest planet in the Solar System.	is	which	although	being
801	Manufacturers often sacrifice quality  __.	for a larger profit margin	in place of to earn more  money	to gain more quantities of money	and instead earn a bigger  amount of profit
802	"A well-known large natural lake is Lake Tahoe,  __ straddles the California-Nevada border."	and	which	since	for
803	Total weight of all the ants in  the world is much greater than __.	to all human  beings	all human beings is that	that of all human  beings	is of all human beings
804	Elephants scratch themselves  with sticks __.	holding in their trunks	in their trunks holding	hold in their  trunks	held in their trunks
805	Eli Whitney's milling machine  remained unchanged for a century and a half because __ was so efficient.	it	he	of	its
806	I don't know if  __ in my essay.	is there a mistake	there a mistake is	a mistake is  there	there is a mistake
807	"Alcohol abuse is a problem that can  lead to ill health, loss of employment and __."	breaking up one's  family.	one's family can break up.	the family is broken  up.	the break up of one's family.
808	"__ the operation  costs were rising so fast, the United Nations decided to reduce personnel by  half."	If	Because	As a result	As if
809	A dolphin  six __ length can move as fast as most ships.	foot in	feet  in	foot of	feet of
810	__ spotted owl is in  danger of soon becoming extinct.	A	Which	The	This
811	"In carpentry, __ ""ceiling joists"" refers to boards  hung down from unfinished ceilings as the backbone from which finishing  materials can be hung."	to the term	is termed	the term	to  term
812	The bank sent a notice to its customers which contained  __.	a remembrance that interest rates were to rise the following  month	a reminder that a raise in interest rates was the month  following	to remember that the interest rates was going up next  month	a reminder that the interest rates would raise the following  month
813	"Kubrick's going to be nominated to receive the Academy  Award for best director, __?"	won't he	didn't he	doesn't  he	isn't he
814	The overall efficiency of a system can be  __ that of its weakest element.	no greater  than	less greater	nothing as greater as	not the  greater
815	"After seeing the movie 'Centennial', __."	the book was  read by many people	the book made many people want to read  it	many people wanted to read this book	the reading of the book  interested many people
816	"Composing more than forty percent of the  diet, fats are __ by the body for energy."	using  specifically	used specifically	specific  use	the use specific
817	Therapists are currently using  mental imagery in the hope that it might prove __ in the treatment of  cancer.	helpful	for help	helpfully	with the  help
818	__ as the most important crop in Hawaii is sugar cane.	It  ranks	It is ranked	What ranks	The rank
819	"The  life of Benjamin Franklin, a practical man __ many stories have been told,  was unusually productive."	of	about whom	about	of  which
820	"Her son went to Yale University, while her daughter went to  __."	the University of Georgia	University of Georgia	an University  of Georgia	a University of Georgia
